Text,Sentiment
darkness descends engulfing soul shadow despair,negative
I had a fantastic time,positive
I had a great experience,positive
ruin hope echo shattered dream whisper tale loss,negative
symphony laughter note key unlocking door boundless happiness,positive
This is the worst experience,negative
bittersweet emotion arise bidding farewell dear friend,neutral
series defeat soccer team face disappointment struggling find silver lining challenging season,negative
embracing acceptance life ups down,neutral
I feel peaceful and content,positive
attempting break school record longest handstand wish luck,neutral
successfully avoided eye contact crush hallway mission accomplished teencrush stealthmode,positive
rainy day call cozy blanket hot cocoa,positive
I feel wonderful and excited,positive
painful echo love cherished lost abyss time,negative
overflowing joy cup laughter shared friend moment cherished,positive
avoiding thorn regret walking barefoot path remorse,negative
arousal excitement much awaited trip,neutral
series defeat soccer team face disappointment struggling find silver lining challenging season,negative
surrounded vibrant color flower garden gardener nurture blossom finding joy beauty nature ever changing canvas,positive
admiration intricate detail handcrafted masterpiece,positive
successfully organized surprise birthday party friend party planning expert mode achieved,neutral
thrilled witness grandeur cultural festival,neutral
overwhelmed grief missing loved one dearly,negative
encountered mean spirited comment online dealing online hate never easy,negative
The event was amazing,positive
laughter echo air chorus happiness lift spirit higher,positive
awe struck grandeur ancient cathedral intricate architecture,positive
attempting impress teacher elaborate science experiment science geek mode activated,neutral
drowning despair hope slipping finger,neutral
The presentation is about artificial intelligence,neutral
weightlifter failed attempt personal record result frustration highlighting challenging nature pushing physical limit,negative
accidentally liked crush old photo stalking profile awkward level maximum,negative
The result is excellent,positive
floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,positive
feeling lonely saturday night sometimes solitude hit harder expected,negative
enthusiasm new artistic project work,positive
I am very unhappy today,negative
overjoyed warmth cozy fireplace winter evening,positive
feeling sense despair major project failure hard work not pay time,negative
I am unhappy with the outcome,negative
productive day ticking list,neutral
anxiety grip chest relentless grip thought,negative
despite meticulous training swimmer face disappointment split second miscalculation cost lead crucial race,negative
This ruined my day,negative
tried impress crush smooth conversation ended spilling drink smooth level nonexistent,neutral
sinking quicksand despair harder fight deeper descend,negative
started learning ballroom dancing gliding gracefully across dance floor ageless elegance every step ballroomdancing seniordancer,neutral
My friends made me happy,positive
lost labyrinth thought confusion casting shadow quest clarity,negative
moment tenderness connecting loved one,positive
The report was submitted today,neutral
victory team brought euphoria city,positive
compassion towards need holiday,positive
carnival emotion rollercoaster thrill sends heart wild ride,positive
tapestry despair thread hope unravel leaving portrait sorrow,negative
finished amazing workout,positive
euphoria flood final puzzle piece fit perfectly,positive
empowered make difference community,positive
empowered make difference community,positive
discovering hidden gem world documentary viewer enlightened inspired feeling renewed sense curiosity,positive
I feel positive and confident,positive
I loved every moment,positive
I am working from home today,neutral
kindness witnessed today restores faith humanity,positive
isolation deepens emotional winter warmth distant memory,neutral
I feel nervous and worried,negative
euphoria flood final puzzle piece click place,positive
exploring world coding debugging adventure codingjourney highschoolcoder,neutral
trying set new trend juggling textbook class academic juggling unique skill,neutral
bitterness bitter aftertaste lingering tongue word reminder wound refuse heal passing time,negative
drowning abyss despair heart shattered fragment lost echoing silence hopelessness,negative
captivated ethereal beauty field filled firefly,positive
I feel wonderful and excited,positive
I am very happy with this,positive
The report contains several tables,neutral
gratitude supportive community around,positive
captivated spellbinding plot twist audience applauds experiencing rollercoaster emotion movie premiere,positive
This ruined my day,negative
feeling sense fulfillment reaching milestone,positive
hosting sleepover friend weekend preparing night laughter memory,positive
embarked solo travel adventure discovering beauty new place pace solotravel seniorexplorer,neutral
amidst tulip field keukenhof tapestry color paint soul springtime joy,positive
joined school debate team word weapon ready battle,neutral
sharing love positive vibe everyone,positive
sense wonder vastness cosmos stargazing night,neutral
facing rejection dream college disheartened determined explore path,negative
I am satisfied with the result,positive
navigating river contentment serene boat cruise tranquil water inner peace acceptance,positive
avoiding thorn regret walking barefoot path remorse,negative
participating debate club enhance critical thinking communication skill intellectual engagement progress,neutral
staring clock class waiting bell ring like exciting event day classcountdown teenlife,neutral
feeling sense fear watching thriller movie,negative
carnival emotion rollercoaster thrill sends heart wild ride,positive
symphony laughter note key unlocking door boundless happiness,positive
dismissive gesture curtain drawn shield vulnerability stage emotion take backseat performance indifference,neutral
finding acceptance midst life challenge,neutral
participated community art class unleashing creativity golden year art no age limit artclass seniorartistry,neutral
navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,positive
serenading star heart full gratitude melody thankfulness,positive
admiration intricate detail handcrafted masterpiece,positive
optimism bright future amidst challenging time,positive
contentment simplicity home cooked meal,positive
joined senior cycling club feeling wind hair freedom open road cyclingclub seniorcyclist,positive
embarked diy home decor project let hope turn better last time diyadventure teenhomedecor,positive
joined senior cycling club feeling wind hair freedom open road cyclingclub seniorcyclist,positive
got dressed day remembered saturday oops weekendvibes teenstruggles,neutral
I really enjoyed the experience,positive
sharing favorite book recommendation classmate building mini book club,neutral
I feel exhausted and stressed,negative
missing important event due unforeseen circumstance day filled sadness,negative
This was a beautiful experience,positive
experiencing cyberbullying hateful message online disheartening,negative
The event starts at seven,neutral
The experience was disappointing,negative
organizing movie marathon friend popcorn cinematic adventure await,neutral
The experience was disappointing,negative
achieving personal best track field competition thrill victory self improvement,positive
awash serenity sun set tranquil lakeside retreat,positive
I am excited to start,positive
elation surprise reunion old friend,positive
I am delighted with the outcome,positive
tear currency grief spent marketplace lost love longing,negative
frustrated attempt untangle knot confusion thread understanding slipping labyrinth miscommunication,neutral
This situation makes me unhappy,negative
The teacher explained the topic,neutral
I had a fantastic time,positive
drenched confetti katy perry concert kaleidoscope color igniting night sky,neutral
calmness prevails practice mindfulness,neutral
like withered rose garden love petal fall silent surrender time,positive
This made me sad,negative
attended jazz concert swayed rhythm timeless tune music constant companion golden year jazzconcert seniormusic,neutral
arousal excitement upcoming adventure,neutral
accidentally sent love letter wrong person love note fail maximum embarrassment,positive
tapestry despair thread hope unravel leaving portrait sorrow,negative
avoiding shard shattered dream walking tightrope resilience,negative
enthusiasm new artistic project work,positive
mesmerized cosmic dance firefly moonlit night,positive
serenading star heart full gratitude melody thankfulness,positive
My friends made me happy,positive
The conference begins in the morning,neutral
radiant joy akin blooming flower sun kissed spring morning,positive
This is an amazing day,positive
missing long anticipated event due unexpected circumstance day filled sadness,negative
My friends made me happy,positive
not believe injustice happening society,neutral
I am working on a new assignment,neutral
empathy lantern wandering dark alley sorrow illuminating path compassion care,neutral
wrapped cloak emotional numbness shield storm life turbulence,negative
soul crushing disappointment hope shattered like fragile glass,negative
I feel lonely tonight,negative
This ruined my day,negative
regret missed opportunity haunt thought,negative
gratitude small joy day brings,positive
facing defeat championship boxer reflects challenge vowing return stronger determined next bout,negative
wandering historical museum history enthusiast becomes immersed tale past envisioning bygone era,neutral
missing summer vibe beach day,neutral
tapestry despair thread hope unravel leaving portrait sorrow,negative
collaborating school project peer teamwork make dream work,neutral
revisiting old memory feeling sense elation,positive
enrolled dance class senior moving rhythm life age number dance floor danceclass seniordancer,neutral
tranquility kyoto bamboo forest whisper ancient zen wisdom echo grove,neutral
daydreaming upcoming prom dress dance fairytale making,neutral
soul adrift sea solitude wave loneliness crashing relentlessly,negative
melancholy lingers bittersweet serenade quietude solitude,negative
revisiting old photograph caught embrace nostalgia bittersweet symphony,neutral
enthusiasm creative project making,positive
sinking despair day darker last,negative
laughter key joy attending stand comedy show,positive
frustrated finger tapping keyboard symphony annoyance composing unsolvable puzzle unmet expectation,neutral
This is the worst experience,negative
labyrinth grief wall echo footstep lost joy,negative
darkness descends engulfing soul shadow despair,negative
I really dislike this,negative
front row adele concert note someone like resonates soul stirring emotion,neutral
celebrating milestone work,neutral
lost enchantment disneyland ride journey realm childhood fantasy,negative
witnessing heartwarming comeback hockey final fan share tear joy team secures historic victory adversity,positive
ran snack movie marathon crisis level emergency movienightstruggles teenproblems,negative
spark inspiration ignites like shooting star night sky,positive
boredom set day feel endlessly dull,negative
harmony resonates musician play symphony unity,neutral
finished amazing workout,positive
contentment midst family gathering filled laughter,positive
I feel positive and confident,positive
This made me sad,negative
Everything worked perfectly,positive
heart ruin remnant shattered dream scattered wind,negative
mesmerized cosmic dance firefly moonlit night,positive
I attended a technology conference,neutral
stumbling upon old journal nostalgia flooding wave carrying moment long gone,neutral
rainy day call cozy blanket hot cocoa,positive
I had a horrible experience,negative
wrapped cloak emotional numbness shield storm life turbulence,negative
intimidation challenge ahead fear take hold,negative
jealousy consumes witness others success,neutral
joined senior cycling club feeling wind hair freedom open road cyclingclub seniorcyclist,positive
confusion surround navigate life choice,neutral
I feel peaceful and content,positive
shame not true value difficult situation,neutral
hosting sleepover friend weekend preparing night laughter memory,positive
jealousy venom seeps vein poisoning heart turning breeding ground discontent,negative
trying new smoothie recipe healthy start week smoothie enthusiast level,neutral
summit machu picchu breathtaking panorama whisper secret ancient civilization,neutral
The project ended in failure,negative
captivated spellbinding plot twist audience applauds experiencing rollercoaster emotion movie premiere,positive
attending live music concert tonight,neutral
bitterness festering like venomous vine entwining soul web resentment poisoning garden peace,negative
swept away river regret current past refusing release,negative
envious eye fixated gilded prize heartache fueled painful desire possession seem forever reach,negative
garden contentment bloom whisper tale inner peace joy,positive
indifferent noise world silent observer midst life cacophony,neutral
tried magic trick impress classmate magic fail rabbit go,neutral
exploring vibrant street art cultural neighborhood mural tell story infusing city creativity expression,neutral
building time capsule capture memory future time traveling emotion,neutral
The failure was frustrating,negative
bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,neutral
practicing stand comedy routine upcoming talent show comedy gig making,neutral
reverence artistry displayed museum,neutral
The event was amazing,positive
immersed soulful melody adele tear flow freely moved emotion hello,negative
wandering cemetery lost dream tombstone marking untold sorrow,negative
soul weathered storm heartbreak seeking refuge calm,neutral
feeling empowered conquering challenging hiking trail,positive
compassionate cloud heavy care showering empathy parched ground human suffering,neutral
tear fall like raindrop mourning end cherished friendship,negative
I feel frustrated and angry,negative
The movie was excellent and enjoyable,positive
inspiration strike observing color vibrant sunset,positive
I had a fantastic time,positive
tranquil moment ocean serenity washing peaceful retreat within wave embrace,positive
I am writing notes for the class,neutral
I feel wonderful and excited,positive
late night gaming session friend,neutral
The result made me very happy,positive
boredom lingers stagnant pool indifference,negative
tennis grand slam fierce rivalry unfolds captivating fan display skill sportsmanship world stage,neutral
exploring universe within mindful meditation session,neutral
inspiration strike observing color vibrant sunset,positive
The result was disappointing,negative
joyful laughter resonates lively summer carnival,positive
compassion shown act kindness community,positive
embarking spontaneous road trip traveler discovers hidden gem creating memory cherished lifetime,neutral
admiration intricate detail handcrafted masterpiece,positive
started photography club school capturing moment one snapshot time,neutral
painful echo love cherished lost abyss time,negative
torn conflicting emotion ambivalence paint decision shade uncertainty,neutral
attending virtual reality meetup,neutral
captivated ethereal beauty field filled firefly,positive
pride achieving personal milestone career progression,positive
I hate how this turned out,negative
torn apart grief echo loss reverberate soul,negative
arousal excitement await special announcement,neutral
volunteering local charity event give back community contributing social cause,neutral
I am angry about what happened,negative
disappointed lack progress personal project,negative
sinking quicksand despair harder fight deeper descend,negative
embarking journey discovery fueled curiosity thirst knowledge,neutral
basking golden glow contentment serene river flowing landscape heart,positive
confusion reign try make sense recent event,neutral
attending school assembly stay informed upcoming event announcement staying connected school activity,neutral
The package arrived this afternoon,neutral
like withered rose garden love petal fall silent surrender time,positive
joyful reunion long lost friend year separation,neutral
floating cloud gratitude raindrop blessing shower thankfulness,positive
feeling sense despair major project failure hard work not pay time,negative
elation surprise reunion childhood friend,positive
I am excited to start,positive
This is the worst experience,negative
The course includes programming exercises,neutral
suffering despair another setback,negative
astronomy observatory stargazer marvel vastness cosmos contemplating mystery hidden within celestial expanse,neutral
reverence wonder nature hiking trail,neutral
lost vast sea information indifferent wave digital ocean,negative
calmness found rhythm raindrop windowpane,neutral
numb chaos emotion locked away stoic facade concealing inner turmoil,negative
relishing peaceful afternoon classic novel quiet moment best moment booklover peacefulafternoon,positive
feeling sense fear watching thriller movie,negative
yearning warmth vanished sun heartache painted hue sunset never graced horizon,positive
I regret my decision,negative
soul crushing disappointment hope shattered like fragile glass,negative
This situation is awful,negative
contentment embrace loved one,positive
dealing unfounded rumor circulating personal life rumor hurtful,neutral
This is a terrible day,negative
